all every
allLimit everyLimit
allSeries everySeries
any some
anyLimit someLimit
anySeries someSeries
find detect
findLimit detectLimit
findSeries detectSeries
flatMap concat
flatMapLimit concatLimit
flatMapSeries concatSeries
forEach each
forEachSeries eachSeries
forEachLimit eachLimit
forEachOf eachOf
forEachOfSeries eachOfSeries
forEachOfLimit eachOfLimit
inject reduce
foldl reduce
foldr reduceRight
select filter
selectLimit filterLimit
selectSeries filterSeries
wrapSync asyncify
during whilst
doDuring doWhilst
